timestamp,run_csv,file_prefix,status,offboard_rows,eval_rows,fresh_ratio,max_stale_s,rmse_x,rmse_y,rmse_z,rmse_yaw,rmse_xy,p95_abs_x,p95_abs_y,p95_abs_z,p95_abs_yaw,p95_xy,cmd_jitter_x,cmd_jitter_y,cmd_jitter_xy,cmd_jitter_yaw,target_x,target_y,target_yaw,target_z,kp_xy,ki_xy,kd_xy,kp_x,ki_x,kd_x,kp_y,ki_y,kd_y,kp_yaw,ki_yaw,kd_yaw,kp_z,ki_z,kd_z,vxy_limit,vz_limit,wz_limit,velocity_deadband,yaw_rate_deadband
2026-03-14 20:15:51,/home/zjh/project/rasip_pi_ws/log/tracking_csv/pid_tuning_xy_fine_20260314_201539.csv,pid_tuning_xy_fine,insufficient_data,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.85,0.0,0.05,0.85,0.0,0.05,0.9,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
2026-03-15 09:31:10,/home/zjh/project/rasip_pi_ws/log/tracking_csv/pid_tuning_xy_fine_20260315_093036.csv,pid_tuning_xy_fine,insufficient_data,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.85,0.0,0.05,0.85,0.0,0.05,0.9,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
2026-03-15 09:41:38,/home/zjh/project/rasip_pi_ws/log/tracking_csv/pid_tuning_xy_fine_20260315_093947.csv,pid_tuning_xy_fine,ok,1554,1554,1.0,0.0,0.2171672160121429,0.2429359397530136,0.07288667251977123,0.1289240485044979,0.32585191503832733,0.49834246152100947,0.5428106601710333,0.12100672593331077,0.12929281008189203,0.675918744082228,0.02896533275316168,0.031908278650768326,0.04309441666801465,0.027041476086471776,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.85,0.0,0.05,0.85,0.0,0.05,0.9,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
2026-03-15 09:51:18,/home/zjh/project/rasip_pi_ws/log/tracking_csv/pid_tuning_xy_fine_20260315_094937.csv,pid_tuning_xy_fine,ok,1410,1410,1.0,0.0,0.12950891108101703,0.12478004752276534,0.09545416255448802,0.16041625111131966,0.17984053577871242,0.2732070834503209,0.23708957758473517,0.21274762089050397,0.1572095757955958,0.29528786587936806,0.019739206972577875,0.019989100321110738,0.028092711217568452,0.03058444719640907,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.85,0.0,0.05,0.85,0.0,0.05,0.6,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
2026-03-15 09:53:43,/home/zjh/project/rasip_pi_ws/log/tracking_csv/pid_tuning_xy_fine_20260315_095148.csv,pid_tuning_xy_fine,ok,1620,1500,0.9259259259259259,4.444743616482297,0.1338682991011406,0.1329720599230719,0.0852134797349302,0.08781515687677777,0.1886856916260941,0.29645201525710196,0.257883561317809,0.1690966521832564,0.1136716313198414,0.38259606956990583,0.02062558634203623,0.019572964644183195,0.028434411492331557,0.02865586511865708,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.85,0.0,0.05,0.85,0.0,0.05,0.6,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
2026-03-15 09:56:19,/home/zjh/project/rasip_pi_ws/log/tracking_csv/pid_tuning_xy_fine_20260315_095446.csv,pid_tuning_xy_fine,ok,1350,1328,0.9837037037037037,0.49999331968461613,0.21159322203811812,0.3019500943049531,0.1016234205200666,0.5234903027510523,0.36870794819645847,0.531770392072938,0.7286565123673852,0.131959601271618,1.2119379411759084,0.8591675476462097,0.04443585047825312,0.03999811289282813,0.05978623455874347,0.041127470799220994,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.85,0.0,0.05,0.85,0.0,0.05,0.4,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
2026-03-15 09:59:01,/home/zjh/project/rasip_pi_ws/log/tracking_csv/pid_tuning_xy_fine_20260315_095709.csv,pid_tuning_xy_fine,ok,1530,1530,1.0,0.0,0.1688882779961276,0.14827398620023577,0.13982708108700995,0.23828940050301597,0.22474079609230996,0.28145118060837604,0.34509919922443955,0.14184080731567106,0.4404901424145943,0.4190628209166938,0.022585748512921066,0.02170328403757422,0.031323291236786406,0.03767988319349838,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.6,0.0,0.05,0.6,0.0,0.05,0.4,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
2026-03-15 09:59:58,/home/zjh/project/rasip_pi_ws/log/tracking_csv/pid_tuning_xy_fine_20260315_095948.csv,pid_tuning_xy_fine,insufficient_data,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.6,0.0,0.05,0.6,0.0,0.05,0.6,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
2026-03-15 10:00:33,/home/zjh/project/rasip_pi_ws/log/tracking_csv/pid_tuning_xy_fine_20260315_100024.csv,pid_tuning_xy_fine,insufficient_data,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.6,0.0,0.05,0.6,0.0,0.05,0.6,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
2026-03-15 10:02:40,/home/zjh/project/rasip_pi_ws/log/tracking_csv/pid_tuning_xy_fine_20260315_100122.csv,pid_tuning_xy_fine,ok,900,900,1.0,0.0,0.17582153565267544,0.16656103431103794,0.054000901637002115,0.25440823171191107,0.24218957564277582,0.381039714965676,0.2894376412823362,0.10747453125065443,0.5662511883255692,0.4796192887258709,0.030721356646925862,0.03000121835895375,0.0429403639627011,0.0934325461101691,0.0,0.0,0.0,2.5,0.5,0.0,0.08,0.6,0.0,0.05,0.6,0.0,0.05,0.6,0.0,0.05,0.8,0.0,0.06,0.8,0.5,1.0,0.03,0.03
